as_of,label,confidence,size_mult,degradation_level,crisis,needs_llm_review,fwd_1d_ret,fwd_5d_ret,fwd_20d_ret
2021-01-04,BEAR_TREND,0.9999,0.5,0,0,0,0.006887539521529096,0.026844639512186852,0.03459965487634964
2021-01-05,BEAR_TREND,0.9989,0.5,0,0,0,0.0059782659073843725,0.02003599248368859,0.028330507580536235
2021-01-06,BEAR_TREND,0.9967,0.5,0,0,0,0.014857724160499686,0.016704748881601006,0.033837664894586617
2021-01-07,BEAR_TREND,0.8863,0.5,0,0,0,0.005697750715385919,-0.0016884594325269342,0.022711534756530316
2021-01-08,VOLATILE_TRANSITION,0.6267,0.4419,0,0,1,-0.006740938888912251,-0.014583485056549383,0.02426132683489346
2021-01-11,BEAR_TREND,0.9927,0.5,0,0,1,0.00021122103068926812,-0.00010535081735618679,0.030526113498408725
2021-01-12,BEAR_TREND,0.8365,0.5,0,0,0,0.0026929321673625495,0.013517281847828189,0.029859740772282706
2021-01-13,BULL_TREND,0.8344,1.0,0,0,1,-0.0035020696244897342,0.011716953226184046,0.02875265365521451
2021-01-14,BULL_TREND,0.9274,1.0,0,0,0,-0.0072926813676941205,0.011678961602139326,0.037467576485539444
2021-01-15,BEAR_TREND,0.9689,0.5,0,0,1,0.007852421180648328,0.023130325114528505,0.04418415713777302
2021-01-19,VOLATILE_TRANSITION,0.6779,0.5,0,0,1,0.013838166692249576,0.01357411258557173,0.03628648848988125
2021-01-20,BULL_TREND,0.9989,1.0,0,0,1,0.0009118310289488729,-0.024694242424941115,0.01779172081677438
2021-01-21,BULL_TREND,0.9998,1.0,0,0,0,-0.003539489749369129,-0.01720278869509817,0.0150687887167682
2021-01-22,BULL_TREND,0.9997,1.0,0,0,0,0.003943938942235992,-0.03345695529352033,0.010838982596633073
2021-01-25,BULL_TREND,0.9958,1.0,0,0,0,-0.0015610931080105583,-0.021228563645949272,0.008090564379718446
2021-01-26,BULL_TREND,0.9984,1.0,0,0,0,-0.024440157906249982,-0.00583645306968128,0.02079265233864258
2021-01-27,BEAR_TREND,1.0,0.5,0,1,1,0.008599968427470017,0.01987108146246852,0.021153069771876698
2021-01-28,BEAR_TREND,0.9999,0.5,0,0,0,-0.0200196292492133,0.022667737542388933,0.007229192405532769
2021-01-29,BEAR_TREND,1.0,0.5,0,0,0,0.01664551467114639,0.0476667091566807,0.052719713751359976
2021-02-01,BEAR_TREND,1.0,0.5,0,0,0,0.0141403071246895,0.037955405308971235,0.027403543328182955
2021-02-02,BEAR_TREND,1.0,0.5,0,0,0,0.0007863135392589538,0.022801632047363185,-0.0003407473226294533
2021-02-03,BEAR_TREND,1.0,0.5,0,0,0,0.011365717241394124,0.021552890878692388,-0.013486889689675152
2021-02-04,BEAR_TREND,1.0,0.5,0,0,0,0.003935855578963032,0.011704007226756019,-0.0066288272666418235
2021-02-05,BEAR_TREND,1.0,0.5,0,0,0,0.0072217605210029845,0.012715530598417901,-0.015449690552144513
2021-02-08,BEAR_TREND,0.9997,0.5,0,0,0,-0.0006657743225676471,0.004583777721533844,-0.008552904126734706
2021-02-09,BEAR_TREND,0.9994,0.5,0,0,0,-0.000435549069873864,0.005483802194696352,-0.0017168277512212837
2021-02-10,BEAR_TREND,0.9998,0.5,0,0,0,0.0016150490502446768,0.0016407647859804086,0.008844364249446013
2021-02-11,BEAR_TREND,0.9998,0.5,0,0,0,0.0049396121859484055,-0.001740312808264588,0.008574115619965905
2021-02-12,BEAR_TREND,0.9996,0.5,0,0,0,-0.0008658792962090711,-0.014287718056142484,0.009601817419778502
2021-02-16,BEAR_TREND,0.9999,0.5,0,0,0,0.000229546983554485,-0.012235514369499323,0.00920226866289231
2021-02-17,BEAR_TREND,1.0,0.5,0,0,0,-0.004255962257000867,-0.0015801438888348729,0.012411155545174024
2021-02-18,BEAR_TREND,1.0,0.5,0,0,0,-0.001765941739528154,-0.021473207195356614,0.00194515361503389
2021-02-19,BEAR_TREND,1.0,0.5,0,0,0,-0.007691754907732995,-0.024793144617851537,0.0018604271964459684
2021-02-22,BEAR_TREND,1.0,0.5,0,0,0,0.001214267987657447,0.006588521881133014,0.01768802900826616
2021-02-23,BEAR_TREND,1.0,0.5,0,0,0,0.011019382560619073,-0.0024772799680827795,0.008453528603307614
2021-02-24,BEAR_TREND,1.0,0.5,0,0,0,-0.024095711094796135,-0.026418552203929302,-0.007608559769897716
2021-02-25,BEAR_TREND,1.0,0.5,0,0,0,-0.005152741805501959,-0.014725389883165518,0.02261492557993927
2021-02-26,BEAR_TREND,1.0,0.5,0,0,0,0.024240225717521602,0.008597305775897235,0.04447633898687253
2021-03-01,BEAR_TREND,1.0,0.5,0,0,0,-0.00780313084500639,-0.020175485245971014,0.01924205129620593
2021-03-02,BEAR_TREND,1.0,0.5,0,0,0,-0.013245819411749737,0.0016296701741269626,0.024532744064861722
2021-03-03,BEAR_TREND,1.0,0.5,0,0,0,-0.012374650380738261,0.021393694988387724,0.04249396892538759
2021-03-04,BEAR_TREND,1.0,0.5,0,0,0,0.0183965505358199,0.04467732458366336,0.06695537515046368
2021-03-05,BEAR_TREND,1.0,0.5,0,0,0,-0.004978819189692785,0.027187523018440185,0.06271893687662233
2021-03-08,BEAR_TREND,1.0,0.5,0,0,0,0.014277360726171029,0.038483691904775075,0.06740580312666022
2021-03-09,BEAR_TREND,1.0,0.5,0,0,0,0.006224684199960473,0.022574206690809673,0.053598479123638576
2021-03-10,BEAR_TREND,1.0,0.5,0,0,0,0.01013919803272878,0.019713690824596064,0.052051164937013894
2021-03-11,BEAR_TREND,1.0,0.5,0,0,0,0.0013467370054289773,-0.005209182402269974,0.04906272785591481
2021-03-12,BEAR_TREND,0.9999,0.5,0,0,0,0.005963610553694876,-0.008385342064688217,0.04803373969218949
2021-03-15,BEAR_TREND,1.0,0.5,0,0,0,-0.0012612854741708146,-0.006392845107577649,0.044908527445901125
2021-03-16,BEAR_TREND,0.9993,0.5,0,0,0,0.003409903956828275,-0.012968349463901796,0.04265518097654186
2021-03-17,BEAR_TREND,0.9992,0.5,0,0,0,-0.014549664537802376,-0.0213231911426921,0.050274645362345494
2021-03-18,BEAR_TREND,1.0,0.5,0,0,0,-0.0018503543407208944,-0.001286547680265926,0.06934394860776294
2021-03-19,BEAR_TREND,1.0,0.5,0,0,0,0.007984939521507695,0.016689010179581354,0.0660624130658376
2021-03-22,BEAR_TREND,0.9999,0.5,0,0,0,-0.007870749522268627,0.00812559508352817,0.049873742417887224
2021-03-23,BEAR_TREND,1.0,0.5,0,0,0,-0.005083573311034595,0.013427649994731672,0.06821538130113458
2021-03-24,BEAR_TREND,1.0,0.5,0,0,0,0.005625654671649993,0.02273432280886789,0.06386770672700037
2021-03-25,BEAR_TREND,0.9895,0.5,0,0,0,0.016115055724257754,0.027995988487317547,0.0693866596325734
2021-03-26,BULL_TREND,0.9384,1.0,0,0,1,-0.0005051625266774273,0.02621324822970328,0.05462373065744064
2021-03-29,VOLATILE_TRANSITION,0.7323,0.5,0,0,1,-0.0026528245031062214,0.026125611442488372,0.05492947513983193
2021-03-30,BULL_TREND,0.7735,1.0,0,0,1,0.004053104241281691,0.030045650814027214,0.05743133815102386
2021-03-31,BULL_TREND,0.997,1.0,0,0,0,0.010799301311397391,0.030757451555828652,0.05987436829021586
2021-04-01,BULL_TREND,0.9986,1.0,0,0,0,0.014352919260210761,0.02715827613915578,0.04166143308811354
2021-04-05,BULL_TREND,0.9998,1.0,0,0,0,-0.0005905176091081099,0.012993317196485776,0.029136946131430363
2021-04-06,BULL_TREND,0.999,1.0,0,0,0,0.0011572745251646754,0.016595995736814695,0.02339208716761698
