year,n_days,n_bull,n_bear,n_transition,n_crisis,uncond_mean_20d,strategy_year_ret,spy_year_ret,delta_pp
2017,251,0,0,251,0,0.017976,0.103575,0.216459,-11.29
2018,251,8,24,216,3,-0.003234,-0.052811,-0.051486,-0.13
2019,252,251,1,0,0,0.020513,0.339307,0.323134,1.62
2020,253,67,52,95,39,0.016827,0.085389,0.156392,-7.1
2021,252,8,0,244,0,0.016428,0.176917,0.312611,-13.57
2022,251,6,0,242,3,-0.008402,-0.091723,-0.189889,9.82
2023,250,0,0,250,0,0.017369,0.124899,0.260001,-13.51
2024,252,0,0,251,1,0.018935,0.113309,0.252807,-13.95
2025,250,190,0,55,5,0.01369,0.133763,0.182253,-4.85
2026,107,25,0,82,0,0.015015,0.012178,0.032796,-2.06
