year,n_days,n_bull,n_bear,n_transition,n_crisis,uncond_mean_20d,strategy_year_ret,spy_year_ret,delta_pp
2017,251,0,0,237,0,0.017976,0.104726,0.216459,-11.17
2018,251,6,74,168,3,-0.003234,-0.07868,-0.051486,-2.72
2019,252,14,11,227,0,0.020513,0.165928,0.323134,-15.72
2020,253,34,70,110,39,0.016827,0.047927,0.156392,-10.85
2021,252,17,0,222,0,0.016428,0.142513,0.312611,-17.01
2022,251,10,35,203,3,-0.008402,-0.086134,-0.189889,10.38
2023,250,9,19,2,0,0.017369,0.184623,0.260001,-7.54
2024,252,0,222,13,1,0.018935,0.121222,0.252807,-13.16
2025,250,1,18,226,5,0.01369,0.032036,0.182253,-15.02
2026,107,0,0,107,0,0.015015,0.024656,0.032796,-0.81
