as_of,test_year,cutoff_used,label,confidence,size_mult,degradation_level,crisis,fwd_1d_ret,fwd_5d_ret,fwd_20d_ret
2017-01-03,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.005949321777944938,0.005416235178285822,0.01056655477131363
2017-01-04,2017,2017-01-01,VOLATILE_TRANSITION,0.9999,0.5,0,0,-0.0007945887778824101,0.00229492402305409,0.005251758360147241
2017-01-05,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.003577439089743617,0.0005741482173575729,0.012986053935897468
2017-01-06,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,-0.0033007654182147794,-0.0007037899258633962,0.007570175392880962
2017-01-09,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.0,-0.0009269784762747646,0.010951269713900702
2017-01-10,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.0028263556572454274,0.001280507058318836,0.012276104417827005
2017-01-11,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,-0.0025100603974042013,-0.005239889213059512,0.015411805081599672
2017-01-12,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.002295665128889679,0.0009272380648037704,0.02198385100029321
2017-01-13,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,-0.0035233739452159574,-0.003964097313774784,0.025192610200885257
2017-01-17,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.002209533724799151,0.0059665846885859075,0.03292795792090475
2017-01-18,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,-0.0037041072691507138,0.012437098999055651,0.03603110252919706
2017-01-19,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.0036739907614735667,0.015138597454437575,0.03899751520783257
2017-01-20,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,-0.002602357484741691,0.009834973573838113,0.036825926704512124
2017-01-23,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.006411702159417887,0.006190619760624516,0.0457217781558088
2017-01-24,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.008655882170918838,-0.00030734158921053023,0.03813714656396727
2017-01-25,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,-0.001045678594444155,-0.008494300578206437,0.029925207382400343
2017-01-26,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,-0.001569735916920334,-0.006802522921427245,0.032311637084516454
2017-01-27,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,-0.006201826701901614,0.00161604557191386,0.03555014669606016
2017-01-30,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,-8.768693666583172e-05,0.006064456500211479,0.039200254750356045
2017-01-31,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.0003955190764552974,0.006196802121076095,0.0538388303261228
2017-02-01,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.0006588084317851184,0.0071170721606033105,0.04678828754297659
2017-02-02,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.006893186873351054,0.01242508611634019,0.04675756091149186
2017-02-03,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,-0.0017881367713481477,0.009461697160958904,0.036495899245382324
2017-02-06,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,4.384938292800733e-05,0.016773932962322213,0.0352512754920864
2017-02-07,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.0013104832484174267,0.02079149297514271,0.0332837733518605
2017-02-08,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.005932784086563725,0.024777472412253365,0.03323998132445838
2017-02-09,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.0039459899003135845,0.0178661289568538,0.030745643178650583
2017-02-10,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.0054426086290710884,0.015463512612813313,0.027212737788253838
2017-02-13,2017,2017-01-01,VOLATILE_TRANSITION,0.9998,0.5,0,0,0.003995304126306998,0.01598121650522777,0.017742776548451022
2017-02-14,2017,2017-01-01,VOLATILE_TRANSITION,0.9989,0.5,0,0,0.005220393375860777,0.011039803656158531,0.022464835454117482
2017-02-15,2017,2017-01-01,VOLATILE_TRANSITION,0.9993,0.5,0,0,-0.000851466300501591,0.006470256156090981,0.015154038815067272
2017-02-16,2017,2017-01-01,VOLATILE_TRANSITION,0.9994,0.5,0,0,0.0015762312697358283,0.008606249839056668,0.014234646879470292
2017-02-17,2017,2017-01-01,VOLATILE_TRANSITION,0.9994,0.5,0,0,0.005955203661409891,0.008592405040452888,0.011527907875368726
2017-02-21,2017,2017-01-01,VOLATILE_TRANSITION,0.9945,0.5,0,0,-0.0008878130176106502,-8.437212936707184e-05,-0.007370865803027371
2017-02-22,2017,2017-01-01,VOLATILE_TRANSITION,0.9994,0.5,0,0,0.0006771475818210249,0.014812874495599093,-0.004151072500642505
2017-02-23,2017,2017-01-01,VOLATILE_TRANSITION,0.9996,0.5,0,0,0.0012689887683619006,0.007739732698358148,-0.00588689099545725
2017-02-24,2017,2017-01-01,VOLATILE_TRANSITION,0.9996,0.5,0,0,0.0015624829698315246,0.007096046641871023,-0.007867807222000978
2017-02-27,2017,2017-01-01,VOLATILE_TRANSITION,0.9999,0.5,0,0,-0.002698886039613324,0.0025308066113129968,-0.010432403149726266
2017-02-28,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.01399746354035436,0.00224139385849087,-0.0005340033050663662
2017-03-01,2017,2017-01-01,VOLATILE_TRANSITION,0.995,0.5,0,0,-0.00629746964662381,-0.01342900023099558,-0.01340924693201051
2017-03-02,2017,2017-01-01,VOLATILE_TRANSITION,0.9977,0.5,0,0,0.0006294358501321984,-0.005917779923533151,-0.003995278415216408
2017-03-03,2017,2017-01-01,VOLATILE_TRANSITION,0.9962,0.5,0,0,-0.002977673011919535,-0.003061658660973521,-0.006938860226531451
2017-03-06,2017,2017-01-01,VOLATILE_TRANSITION,0.9995,0.5,0,0,-0.002986789073495366,0.0004206619515056964,-0.005705701686885667
2017-03-07,2017,2017-01-01,VOLATILE_TRANSITION,0.9999,0.5,0,0,-0.0018567408028168364,-0.00042207128575233455,-0.0020911917078357822
2017-03-08,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.0012680462942611381,0.010103354775490514,-0.0032065366729330247
2017-03-09,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.003504368074002562,0.006839658558776884,-0.0016704059973743357
2017-03-10,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.0005049409636943558,0.001561443121422812,-0.006170971924732149
2017-03-13,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,-0.003826651945973425,-4.1914736507941974e-05,-0.00608112968835639
2017-03-14,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,0.008653578374320015,-0.009088957899411554,-0.0034503603556355067
2017-03-15,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,-0.0019671025834826494,-0.015278697889921089,-0.016329480955176612
2017-03-16,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,-0.0017563625716320308,-0.0143906863279476,-0.020791997982480326
2017-03-17,2017,2017-01-01,VOLATILE_TRANSITION,1.0,0.5,0,0,-0.001096725584084468,-0.013373548831905224,-0.01037824746176641
