as_of,test_year,cutoff_used,label,confidence,size_mult,degradation_level,crisis,fwd_1d_ret,fwd_5d_ret,fwd_20d_ret
2017-01-03,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.005949085918189878,0.005416391681934973,0.010566397013585638
2017-01-04,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0007945889018386998,0.00229500238134861,0.005251759179424331
2017-01-05,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0035781422090805926,0.0005744605562452154,0.012986134025652296
2017-01-06,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.003301074756948408,-0.0007043340305890045,0.007569626783080929
2017-01-09,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0,-0.0009275245505251384,0.010951033025102808
2017-01-10,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0028260428290802775,0.0012805067585206498,0.01227586741885256
2017-01-11,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0025098271276895456,-0.005240045264204074,0.015411806280972495
2017-01-12,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0022955087356968384,0.0009269258501449773,0.021983691535055305
2017-01-13,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0035236853004745328,-0.003964019474960057,0.02519261020088548
2017-01-17,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0022100812136300885,0.005967055237266816,0.032928436893834956
2017-01-18,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0037045740538741434,0.012436316672882475,0.03603093822059611
2017-01-19,2017,2017-01-01,RANGE_LOW_VOL,0.9998,0.75,0,0,0.0036740698553614504,0.015138601007388619,0.03899791551845455
2017-01-20,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.002602124054689847,0.00983481921652718,0.0368263221715488
2017-01-23,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.006411779806949625,0.0061906192768366175,0.04572200902850776
2017-01-24,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.008655181970186554,-0.00030765214435168886,0.03813690768905942
2017-01-25,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0010453712203352117,-0.008493843249283817,0.02992576239964717
2017-01-26,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0015698133448005525,-0.006802447429170466,0.03231179868473166
2017-01-27,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.006201442686015635,0.0016162776292589776,0.03555069797490629
2017-01-30,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-8.791993321188851e-05,0.0060643783614131586,0.039200174037973046
2017-01-31,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.00039559681251333245,0.0061969584329735206,0.053839071713786435
2017-02-01,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0006587308390386681,0.007117150357099922,0.046788601751397874
2017-02-02,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.006893265535860449,0.012425165637320656,0.046758033724307646
2017-02-03,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0017880598475644716,0.009461774951672997,0.03649613324255485
2017-02-06,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,4.384938292800733e-05,0.016773932962322435,0.03525112109285011
2017-02-07,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0013104832484174267,0.020791647367608412,0.03328392774432576
2017-02-08,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.005932706991362835,0.024777549507454033,0.033240135514859936
2017-02-09,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0039460668432516055,0.0178663602476683,0.030745875456556826
2017-02-10,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0054426086290710884,0.015463741630638905,0.02721258510970337
2017-02-13,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.003995455978385909,0.01598152020938559,0.017742700622411123
2017-02-14,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.005220316962400107,0.011039575114749622,0.022464605184697728
2017-02-15,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0008513910052876383,0.006470180438168827,0.015153962443854363
2017-02-16,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0015763063276332812,0.008606022657248191,0.014234720031130355
2017-02-17,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0059552774950921705,0.008592403102604784,0.01152760456843116
2017-02-21,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0008881864107852522,-8.467103099896178e-05,-0.007371087794816433
2017-02-22,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0006772224306181851,0.014813025199869934,-0.004150848416691222
2017-02-23,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0012689140208346217,0.007739956940939319,-0.005886741500402803
2017-02-24,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0015627816976717668,0.007096420435606543,-0.007867658503756592
2017-02-27,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0026991090450638744,0.002530731509086781,-0.010432549889578091
2017-02-28,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.013997538278395671,0.0022412443824084693,-0.0005340780431069003
2017-03-01,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.006297321769792252,-0.013428925534859193,-0.013409319649998364
2017-03-02,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0006295098834980806,-0.005917852780134902,-0.003995796740181579
2017-03-03,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.002977820382547458,-0.0030618060066991415,-0.006939080549403509
2017-03-06,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0029870860220105877,0.00042036449631521755,-0.005705700838468553
2017-03-07,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0018564427960958696,-0.0004219967777907563,-0.0020907445942611735
2017-03-08,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0012680461047906988,0.010103129137044364,-0.003206835032229738
2017-03-09,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.003504367551045773,0.006839508308117859,-0.001670554978076888
2017-03-10,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0005046434709121694,0.00156151724364606,-0.006171194070323627
2017-03-13,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0038265781978236157,-4.18404258181182e-05,-0.006081279226057501
2017-03-14,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.008653579019897606,-0.009088809372686524,-0.0034502114082574087
2017-03-15,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0019670287666215813,-0.015278477132911639,-0.016329260275885327
2017-03-16,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0017561402472557885,-0.014390538111696882,-0.020791997982480215
