year,n_days,n_bull,n_bear,n_transition,n_crisis,uncond_mean_20d,strategy_year_ret,spy_year_ret,delta_pp
2017,251,0,0,58,0,0.017976,0.135483,0.216459,-8.1
2018,251,66,88,41,3,-0.003234,-0.090644,-0.051486,-3.92
2019,252,79,26,73,0,0.020513,0.219722,0.323134,-10.34
2020,253,97,89,12,39,0.016827,0.125809,0.156392,-3.06
2021,252,93,0,52,0,0.016428,0.19107,0.312611,-12.15
2022,251,49,121,78,3,-0.008402,-0.13235,-0.189889,5.75
2023,250,95,50,11,0,0.017369,0.190265,0.260001,-6.97
2024,252,39,29,18,1,0.018935,0.18837,0.252807,-6.44
2025,250,43,31,77,5,0.01369,0.045679,0.182253,-13.66
2026,108,26,2,46,0,0.015352,0.029428,0.026741,0.27
