year,n_days,n_bull,n_bear,n_transition,n_crisis,uncond_mean_20d,strategy_year_ret,spy_year_ret,delta_pp
2017,251,0,0,251,0,0.017976,0.103574,0.216459,-11.29
2018,251,0,34,214,3,-0.003234,-0.058614,-0.051486,-0.71
2019,252,14,11,227,0,0.020513,0.165928,0.323134,-15.72
2020,253,45,80,89,39,0.016827,0.044462,0.156392,-11.19
2021,252,17,0,235,0,0.016428,0.146405,0.312611,-16.62
2022,251,8,7,233,3,-0.008402,-0.087011,-0.189889,10.29
2023,250,9,19,222,0,0.017369,0.139135,0.260001,-12.09
2024,252,0,0,251,1,0.018935,0.116376,0.252807,-13.64
2025,250,1,18,226,5,0.01369,0.032036,0.182253,-15.02
2026,107,0,0,107,0,0.015015,0.024656,0.032796,-0.81
