as_of,test_year,cutoff_used,label,confidence,size_mult,degradation_level,crisis,fwd_1d_ret,fwd_5d_ret,fwd_20d_ret
2017-01-03,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0059492433136236755,0.005416392106928569,0.010566476306992145
2017-01-04,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0007945888398604994,0.0022948462017804427,0.005251992770622493
2017-01-05,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.003577751618231595,0.0005742263244832291,0.01298613301192475
2017-01-06,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.003300842431988804,-0.0007043342497327076,0.007570018058337347
2017-01-09,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0,-0.000927368539675899,0.01095111192135656
2017-01-10,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.00282604304962919,0.0012805068584533785,0.012276024460116108
2017-01-11,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.00250990514469851,-0.005240123493683413,0.015411807480344875
2017-01-12,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.002295353058863636,0.000927082029791082,0.02198400703530723
2017-01-13,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.00352329720339839,-0.003963631514984134,0.025192773722418016
2017-01-17,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.002209924812875741,0.0059670547711558886,0.03292827809354493
2017-01-18,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.003704652284427734,0.012436707351253906,0.036030863087100684
2017-01-19,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0036742268934852884,0.01513891630255726,0.03899807808346267
2017-01-20,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.002602046109444922,0.009834975107016808,0.03682616628105828
2017-01-23,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.006411779305877996,0.006190540644457121,0.045721849158214756
2017-01-24,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0086554142502413,-0.0003078850725979354,0.03813698237841279
2017-01-25,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0010455248671865647,-0.008494148571231541,0.02992552223124112
2017-01-26,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0015698131028454299,-0.006802292250802977,0.03231156250965772
2017-01-27,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.006201596100927631,0.0016162001936288473,0.035550538114622166
2017-01-30,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-8.807526878296112e-05,0.006064456029198473,0.03919994103461666
2017-01-31,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.000395752223222523,0.006197114744919796,0.053839235426899945
2017-02-01,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0006590414146345758,0.007117228000998788,0.04678829117580152
2017-02-02,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.006893030618103868,0.012424773817098167,0.04675763124815724
2017-02-03,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0017880597097738038,0.009461851284107814,0.03649574512223386
2017-02-06,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,4.377217993090099e-05,0.016773700068545727,0.03525111837147743
2017-02-07,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0013105604446503882,0.020791570171375895,0.03328385054809346
2017-02-08,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.005932552343589803,0.024777316311639597,0.0332401329522054
2017-02-09,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.003946297067243254,0.017866438257476913,0.03074572453189517
2017-02-10,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.005442302441047264,0.015463433912603186,0.02721265729418998
2017-02-13,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.003995532511155364,0.015981598562264,0.017742855168779714
2017-02-14,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.005220241733287612,0.011039802821285472,0.02246483375523911
2017-02-15,2017,2017-01-01,RANGE_LOW_VOL,0.9999,0.75,0,0,-0.0008512406710530218,0.006470407105192644,0.015154190417460578
2017-02-16,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0015761557371074542,0.008605947361985278,0.014234720031130577
2017-02-17,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.005955353567261845,0.00859255474804832,0.011527982185510322
2017-02-21,2017,2017-01-01,RANGE_LOW_VOL,0.9999,0.75,0,0,-0.0008879622820048283,-8.482050076374925e-05,-0.007371237809107423
2017-02-22,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0006771475311715403,0.014812873387623382,-0.004151146988286447
2017-02-23,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.001268764430943481,0.007739582624789243,-0.005886965302947744
2017-02-24,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0015628564671426037,0.007096420965374328,-0.007867659091098878
2017-02-27,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0026993326540093454,0.002530433363826301,-0.010432848034838349
2017-02-28,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.013997765631016401,0.0022415438371592433,-0.0005336297345063246
2017-03-01,2017,2017-01-01,RANGE_LOW_VOL,0.9996,0.75,0,0,-0.006297616595128508,-0.013428999241193451,-0.013409393356332067
2017-03-02,2017,2017-01-01,RANGE_LOW_VOL,0.9999,0.75,0,0,0.0006297325906197138,-0.005917483668675283,-0.003995501231909504
2017-03-03,2017,2017-01-01,RANGE_LOW_VOL,0.9999,0.75,0,0,-0.0029780429835936095,-0.003061954487201035,-0.006939229317315276
2017-03-06,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.002986715169438048,0.00042088505860271574,-0.005705033401664394
2017-03-07,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,-0.0018565917994675107,-0.00042207131722638014,-0.0020910427219685834
2017-03-08,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.001268195618744583,0.010103354020673416,-0.0032068352718105375
2017-03-09,2017,2017-01-01,RANGE_LOW_VOL,1.0,0.75,0,0,0.0035040688296357203,0.006839507797788302,-0.0016707786983772843
