year,n_days,n_bull,n_bear,n_transition,n_crisis,uncond_mean_20d,strategy_year_ret,spy_year_ret,delta_pp
2017,251,0,0,8,0,0.017976,0.149061,0.216459,-6.74
2018,251,12,5,119,3,-0.003234,-0.068383,-0.051486,-1.69
2019,252,70,2,76,0,0.020513,0.195838,0.323134,-12.73
2020,253,104,43,35,39,0.016827,0.116758,0.156392,-3.96
2021,252,51,0,68,0,0.016428,0.157404,0.312611,-15.52
2022,251,35,74,138,3,-0.008402,-0.096301,-0.189889,9.36
2023,250,69,0,76,0,0.017369,0.174943,0.260001,-8.51
2024,252,25,0,51,1,0.018935,0.128417,0.252807,-12.44
2025,250,41,18,63,5,0.01369,0.09008,0.182253,-9.22
2026,108,24,0,42,0,0.015356,0.02887,0.027326,0.15
